ngan_hang,rate12,updated_at_vn,updated_at_webgia
VPBank,5.8,2026-02-06 23:04:29,2026-02-06 18:50:23
VRB,6.2,2026-02-06 23:04:29,2026-02-06 18:50:23
Agribank,4.7,2026-02-07 00:08:51,2026-02-06 18:50:23
Bắc Á,6.85,2026-02-07 00:08:51,2026-02-06 18:50:23
Bảo Việt,5.8,2026-02-07 00:08:51,2026-02-06 18:50:23
BIDV,5.2,2026-02-07 00:08:51,2026-02-06 18:50:23
GPBank,5.2,2026-02-07 00:08:51,2026-02-06 18:50:23
Hong Leong,4.6,2026-02-07 00:08:51,2026-02-06 18:50:23
Indovina,5.8,2026-02-07 00:08:51,2026-02-06 18:50:23
Kiên Long,5.5,2026-02-07 00:08:51,2026-02-06 18:50:23
MSB,5.3,2026-02-07 00:08:51,2026-02-06 18:50:23
MB,4.85,2026-02-07 00:08:51,2026-02-06 18:50:23
OCB,6.5,2026-02-07 00:08:51,2026-02-06 18:50:23
oceanbank,5.7,2026-02-07 00:08:51,2026-02-06 18:50:23
PGBank,7.2,2026-02-07 00:08:51,2026-02-06 18:50:23
PublicBank,6.2,2026-02-07 00:08:51,2026-02-06 18:50:23
PVcomBank,9.0,2026-02-07 00:08:51,2026-02-06 18:50:23
Saigonbank,6.3,2026-02-07 00:08:51,2026-02-06 18:50:23
SCB,3.7,2026-02-07 00:08:51,2026-02-06 18:50:23
SeABank,4.5,2026-02-07 00:08:51,2026-02-06 18:50:23
VCBNeo,5.3,2026-02-07 00:08:51,2026-02-06 18:50:23
VietCapitalBank,6.45,2026-02-07 00:08:51,2026-02-06 18:50:23
Vietcombank,4.6,2026-02-07 00:08:51,2026-02-06 18:50:23
VietinBank,5.2,2026-02-07 00:08:51,2026-02-06 18:50:23
VPBank,5.8,2026-02-07 00:08:51,2026-02-06 18:50:23
VRB,6.2,2026-02-07 00:08:51,2026-02-06 18:50:23
